Sprint,Date,Handoff_ID,From_Team,To_Team,Artifact,Description,SLA_Hours,Status,Blocker,Notes
S3,2026-05-15,HO-027,All Teams,All Teams,M3 Dataset review feedback,Stakeholder review results for analytical dataset milestone,4,Not Started,,Milestone 3 gate
S4,2026-05-21,HO-028,Offshore (DS Lead),Onshore (Evgeniya Kapusta),Entertainment model unit test results,Model outputs vs known Excel outputs for +-5% validation,8,Not Started,,Onshore Finance validates accuracy
S4,2026-05-26,HO-029,Offshore (DS Lead),Onshore (Evgeniya Kapusta),News model unit test results,News model outputs vs known Excel outputs for +-5% validation,8,Not Started,,
S4,2026-05-28,HO-030,Offshore (DS Lead),Onshore (Evgeniya Kapusta),Liability model outputs for validation,Entertainment and News liability calculations for Finance review,8,Not Started,,Critical: Finance must confirm liability calculations are accurate and traceable
S4,2026-05-28,HO-031,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Liability validation feedback,Finance confirmation or correction requests on liability outputs,12,Not Started,,May require multiple rounds of validation
S4,2026-05-29,HO-032,Onshore (Evgeniya Kapusta),All Teams,Scope change log review,Confirmation of any new business rules discovered during Sprint 4,4,Not Started,,Risk mitigation: new rules not shared during MVP
S5,2026-06-05,HO-033,Offshore (DS Lead),Onshore (Evgeniya Kapusta),Backtest results - Entertainment and News,Automated backtest outputs showing variance vs historical actuals,8,Not Started,,Onshore validates variance explanations are accurate
S5,2026-06-05,HO-034,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Backtest validation feedback,Finance confirmation that variance explanations are accurate and accepted,12,Not Started,,Critical review gate
S5,2026-06-10,HO-035,All Teams,All Teams,M4 Rule-based model stakeholder review artifacts,Model methodology doc + backtest results + variance analysis for review,4,Not Started,,Milestone 4 gate
S5,2026-06-12,HO-036,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Data consistency validation report,Finance confirmation that Excel-based and automated outputs are aligned,8,Not Started,,Risk mitigation: data changes during implementation
S6,2026-06-17,HO-037,Offshore (DS Lead),Onshore (Evgeniya Kapusta),Forecast comparison analysis,Rule-based model vs Excel-based model output comparison for Finance validation,8,Not Started,,Key deliverable
S6,2026-06-17,HO-038,Onshore (Evgeniya Kapusta),Offshore (DS Lead),Comparison analysis validation feedback,Finance confirmation that comparison analysis is meaningful and accurate,12,Not Started,,
S6,2026-06-24,HO-039,All Teams,All Teams,M5 Pipeline sign-off review artifacts,Complete pipeline documentation / test results / monitoring setup for review,4,Not Started,,Milestone 5 gate
S6,2026-06-25,HO-040,Offshore (Senior DE 1) + Onshore (Evgeniya Kapusta),All Teams,Complete pipeline and data documentation,Jointly compiled documentation covering data / pipelines / model for P1 segments,8,Not Started,,AC requirement: documentation delivered for in-scope segments
S7,2026-06-29,HO-041,Onshore (Evgeniya Kapusta),Offshore (All),UI requirements document,Business requirements for model execution UI capturing Finance user workflows,8,Not Started,,Onshore captures business needs / offshore develops
S7,2026-06-30,HO-042,Onshore (Evgeniya Kapusta),Offshore (Senior DE 2),UI wireframes with Finance user validation,Validated wireframes showing model config / execution / results screens,8,Not Started,,Onshore validates with Finance users / offshore builds from wireframes
S7,2026-07-07,HO-043,Offshore (DS Lead) + Onshore (Sana Hassan),All Stakeholders,Model Readout v1.0,Final model readout presentation for leadership,4,Not Started,,Milestone 6 gate - joint presentation
S7,2026-07-09,HO-044,Onshore (Evgeniya Kapusta),Offshore (All),UI wireframe validation feedback from Finance users,Finance user feedback on UI workflow and usability,8,Not Started,,User adoption risk mitigation: engage users early
S8,2026-07-14,HO-045,Onshore (Evgeniya Kapusta),Offshore (All),UAT test plan and test cases,Business-defined test cases covering all acceptance criteria,8,Not Started,,Offshore executes tests / onshore validates results
S8,2026-07-16,HO-046,Onshore (Evgeniya Kapusta),Offshore (Nirav Dalal),UAT Round 1 results and defect log,Finance user test results with severity classification,8,Not Started,,Offshore triages and fixes defects
S8,2026-07-21,HO-047,Onshore (Evgeniya Kapusta),Offshore (Nirav Dalal),UAT Round 2 results,Re-test results confirming defect fixes,8,Not Started,,Final validation before sign-off
S8,2026-07-22,HO-048,All Teams,All Teams,M7 UI stakeholder sign-off,Formal sign-off from Finance and IT leadership for V1 UI,4,Not Started,,Milestone 7 gate
S8,2026-07-23,HO-049,Onshore (Evgeniya Kapusta) + Offshore (BA),All Teams,Final documentation package,All project deliverables compiled and reviewed: PRD / ADD / BDM / dataset / model / comparison,8,Not Started,,AC: all documentation deliverables accounted for
S9,2026-07-28,HO-050,Onshore (Evgeniya Kapusta),Offshore (All),Production validation results from Finance users,Finance confirmation that production forecasts meet +-5% AC,8,Not Started,,Final acceptance gate
S9,2026-07-28,HO-051,Offshore (All),Onshore (Support Team),KT Session 1 recording - pipeline operations and monitoring,Recorded knowledge transfer for ongoing pipeline support,4,Not Started,,Must be available for support team async consumption
S9,2026-07-29,HO-052,Offshore (DS Lead),Onshore (Finance Team),KT Session 2 recording - model methodology and configuration,Recorded knowledge transfer for Finance team model usage,4,Not Started,,Finance team must be able to configure and interpret model independently
S9,2026-07-30,HO-053,All Teams,Finance Leadership,Final readout deck + handover package,Project completion summary / outcomes / Phase 2 recommendations / known issues / backlog,4,Not Started,,Phase 2 items: ML models / scenario analysis / P2-P5 segments
S9,2026-07-31,HO-054,All Teams,All Teams,Project sign-off artifact,Formal sign-off from Jennifer Blue / Katie Kennedy confirming all ACs met,4,Not Started,,Project closure: +-5% variance / liability docs / SLA met / documentation complete
RECURRING,Weekly (Fridays),HO-R01,Offshore (Nirav Dalal),Onshore (Sana Hassan),Weekly async status update,End-of-week progress summary / blockers / questions from offshore team,2,Not Started,,Due every Friday EOD offshore time
RECURRING,Weekly (Fridays),HO-R02,Onshore (Sana Hassan),Offshore (Nirav Dalal),Weekly sync meeting notes and action items,Meeting notes / decisions / action items from weekly sync call,2,Not Started,,Distributed within 2 hours of call completion
RECURRING,Daily,HO-R03,Offshore (Nirav Dalal),Onshore (Sana Hassan),Daily standup async update,Brief status update posted at offshore EOD for onshore morning review,1,Not Started,,Async standup format: done / doing / blockers
RECURRING,Daily,HO-R04,Onshore (Sana Hassan),Offshore (Nirav Dalal),Daily standup async response,Onshore responses to blockers / questions / decisions from offshore update,2,Not Started,,Posted by onshore EOD for offshore morning review
RECURRING,Biweekly,HO-R05,Onshore (Sana Hassan) + Offshore (Nirav Dalal),Leadership,Biweekly leadership readout,Joint preparation and delivery of leadership status update,24,Not Started,,Alternates between Fridays - total 8-9 readouts across project
RECURRING,Per Milestone,HO-R06,All Teams,All Stakeholders,Milestone gate review artifacts,Compiled deliverables for milestone sign-off (7 gates total),8,Not Started,,Each milestone has defined acceptance criteria from solution brief
RECURRING,Per Sprint,HO-R07,All Teams,All Teams,Sprint retrospective and planning artifacts,Retro notes / Sprint plan / updated backlog,4,Not Started,,Conducted on final Friday of each sprint
